Investment Name,Symbol
American Beacon International Equity Fund - R5,ABRIX
American Funds EuroPacific Growth Fund® - Class R-6,RERGX
DFA Real Estate Securities Portfolio - Institutional Class,DIREX
DFA U.S. Targeted Value Portfolio - Institutional Class,DFFVX
Vanguard® Mid-Cap Index Fund - Admiral™ Shares,VIMAX
Vanguard® Wellesley® Income Fund - Admiral™ Shares,VWIAX
AB Global Bond Fund - Class Z,ANAZX
American Funds New World Fund® - Class R-6,RWIRX
Eaton Vance Atlanta Capital SMID-Cap Fund - Class R6,EAASX
Invesco Diversified Dividend Fund - Class R6,LCRBX
JPMorgan Small Cap Growth Fund - Class R6 Shares,JGSRX
Neuberger Berman Sustainable Equity Fund - Class R6 Shares,NESKX
PGIM High Yield Fund - Class R6,PDBZX
PIMCO Income Fund - Institutional Class,PIMIX
Vanguard® 500 Index Fund - Admiral™ Shares,VFIAX
Victory Sycamore Established Value Fund - Class R6,VSEVX
Voya Index Solution 2025 Portfolio - Class Z,VSIZX
Voya Index Solution 2030 Portfolio - Class Z,VSITX
Voya Index Solution 2035 Portfolio - Class Z,VSLTX
Voya Index Solution 2040 Portfolio - Class Z,VSVIX
Voya Index Solution 2045 Portfolio - Class Z,VSVOX
Voya Index Solution 2050 Portfolio - Class Z,VSCIX
Voya Index Solution 2055 Portfolio - Class Z,VSIIX
Voya Index Solution 2060 Portfolio - Class Z,VSFPX
Voya Index Solution Income Portfolio - Class Z,VSIZX
American Funds AMCAP Fund® - Class R-6,RAGEX
American Funds New Perspective Fund® - Class R-6,RNPGX
DFA Inflation-Protected Securities Portfolio - Inst Class,DIPSX
Vanguard® Growth Index Fund - Admiral™ Shares,VIGAX
Vanguard® LifeStrategy® Conservative Growth Fund- Investor,VSCGX
Vanguard® LifeStrategy® Growth Fund - Investor,VASGX
Vanguard® LifeStrategy® Income Fund - Investor,VASIX
Vanguard® LifeStrategy® Moderate Growth Fund - Investor,VSMGX
Vanguard® Mid-Cap Value Index Fund - Admiral™ Shares,VMVAX
Vanguard® Small-Cap Index Fund - Admiral™ Shares,VSMAX
Vanguard® Total International Stock Index Fund - Adm™ Sh,VTIAX
Voya Index Solution 2065 Portfolio - Class Z,VSIZX
