Investment Name,Symbol,1 Month Performance,3 Month Performance,6 Month Performance,1 Year Performance
American Beacon International Equity Fund - R5,ABRIX,-0.11506646364047857,-0.45871514481795606,-0.3444286204340119,
American Funds EuroPacific Growth Fund® - Class R-6,RERGX,-0.055874054878357615,-1.468966673722616,-0.5006498354085065,
DFA Real Estate Securities Portfolio - Institutional Class,DIREX,,,,
DFA U.S. Targeted Value Portfolio - Institutional Class,DFFVX,-0.33829628983904625,-1.0080683538370105,2.791344177668531,
Vanguard® Mid-Cap Index Fund - Admiral™ Shares,VIMAX,-0.07353930397528963,-1.0809831558519112,1.7331106077459024,
Vanguard® Wellesley® Income Fund - Admiral™ Shares,VWIAX,0.11707592198086925,0.15057746678701633,1.6298795578992609,
AB Global Bond Fund - Class Z,ANAZX,0.29455053076399285,0.739640713088785,1.6417930842668182,
American Funds New World Fund® - Class R-6,RWIRX,,,,
Eaton Vance Atlanta Capital SMID-Cap Fund - Class R6,EAASX,0.03172661401207311,-0.22151801892150713,2.5032524448445503,
Invesco Diversified Dividend Fund - Class R6,LCRBX,,,,
JPMorgan Small Cap Growth Fund - Class R6 Shares,JGSRX,-0.09388991141484615,-0.5607426823543427,0.9487702261067765,
Neuberger Berman Sustainable Equity Fund - Class R6 Shares,NESKX,,,,
PGIM High Yield Fund - Class R6,PDBZX,0.34042520725980907,0.6831761182360729,1.6379273632336488,
PIMCO Income Fund - Institutional Class,PIMIX,0.09597148568729619,0.09597148568729619,0.9680579110193266,
Vanguard® 500 Index Fund - Admiral™ Shares,VFIAX,-0.3880609043099392,-0.9785250662926237,-0.059351407643393195,
Victory Sycamore Established Value Fund - Class R6,VSEVX,,,,
Voya Index Solution 2025 Portfolio - Class Z,VSIZX,,,,
Voya Index Solution 2030 Portfolio - Class Z,VSITX,,,,
Voya Index Solution 2035 Portfolio - Class Z,VSLTX,,,,
Voya Index Solution 2040 Portfolio - Class Z,VSVIX,-0.5046159229557312,-1.2795523635895645,2.1883159984099843,
Voya Index Solution 2045 Portfolio - Class Z,VSVOX,,,,
Voya Index Solution 2050 Portfolio - Class Z,VSCIX,-0.19968727100290184,-0.8043499900338924,3.1053210181704705,
Voya Index Solution 2055 Portfolio - Class Z,VSIIX,-0.14836192045299956,-0.7130492104411079,3.141761160400658,
Voya Index Solution 2060 Portfolio - Class Z,VSFPX,,,,
Voya Index Solution Income Portfolio - Class Z,VSIZX,,,,
American Funds AMCAP Fund® - Class R-6,RAGEX,,,,
American Funds New Perspective Fund® - Class R-6,RNPGX,-0.21451364824930375,-1.0985098280838046,-0.3925789027640181,
DFA Inflation-Protected Securities Portfolio - Inst Class,DIPSX,0.0929389281516313,0.186050769894619,0.9372106912342248,
Vanguard® Growth Index Fund - Admiral™ Shares,VIGAX,-0.5407178052473482,-1.0499677151344478,-0.8636375526329121,
Vanguard® LifeStrategy® Conservative Growth Fund- Investor,VSCGX,0.14713431850683634,0.04899671218323576,1.0891054705211678,
Vanguard® LifeStrategy® Growth Fund - Investor,VASGX,-0.04947215233119806,-0.6150061269760143,0.4975143262281545,
Vanguard® LifeStrategy® Income Fund - Investor,VASIX,0.26773736932059755,0.40214119058694653,1.353178706891156,
Vanguard® LifeStrategy® Moderate Growth Fund - Investor,VSMGX,0.03316825541745949,-0.297521165579806,0.768458202108846,
Vanguard® Mid-Cap Value Index Fund - Admiral™ Shares,VMVAX,0.2094993422843805,-0.6782916365717151,2.3391803956229085,
Vanguard® Small-Cap Index Fund - Admiral™ Shares,VSMAX,-0.1891753045603739,-0.7939017127125414,3.1161811011196416,
Vanguard® Total International Stock Index Fund - Adm™ Sh,VTIAX,0.1335144083768558,-0.9574146806271111,-0.0666237756785204,
Voya Index Solution 2065 Portfolio - Class Z,VSIZX,,,,
